LINK,TITLE,TEXT
https://arcanum.fandom.com/wiki/Find_the_Bow_of_Ecclesiastes,Find the Bow of Ecclesiastes: Walkthrough,"Black Root Kietzel Pierce can be found in Black Root at one of the local pubs Talking with him reveals that he is the Bow Master He further reveals that one of his students, Dudley Crosston, has gone missing while questing for the Bow of Ecclesiastes He also states that he is leaving for Caladon, and so he can neither search nor wait for Dudley or the Bow Kietzel will task The Player with retrieving the Bow Kietzel also asks the player that if they come across Dudley, to please let Dudley know where Kietzel has gone Ruins of Szabo The Ruins of Szabo are located at 1028W 1322S, and they are marked on The Player's World map when accepting the quest The underground ruins contain a labyrinth of three levels guarded by undead Each level must be exited by extinguishing various lit torches The Bow can be found in a chest on the third level Caladon Kietzel can be found in Caladon at the desk of the Mushroom Inn by day At night he is at the bar of The Toadstool Giving the Bow to Kietzal results in Master Training and 800 exp Telling Kietzel the ruins were empty forfeits the exp reward, but Training can still be had for 2000 gp"
https://arcanum.fandom.com/wiki/Find_the_Bow_of_Ecclesiastes,Find the Bow of Ecclesiastes: Notes,This quest can be done in tandem with the Find Dudley Crosston quest Informing Kietzal of Dudley's whereabouts and intentions grants the player an additional reward of 1700 exp
https://arcanum.fandom.com/wiki/Kill_Sir_Garrick_Stout,"Kill Sir Garrick Stout: Path 1, Dodge Mastery only","This path is for players who only desire Dodge Mastery and will NEVER want Melee Mastery Obtain Dodge Expert training from either Hekmer Oggdoddler in Black Root or Winde in Qintarra Seek out Adkin Chambers in Stillwater Accept Chambers' quest to Kill Sir Garrick Stout and bring back Stout's eyes Go to Dernholm and complete the task Return to Stillwater: your reward is Master Training and 8,500 xp Notes: This botches ANY attempt for the Melee Mastery quest in the future If Stout is killed previous to this, then Chambers will accept your word and train you if you are high enough rank"
https://arcanum.fandom.com/wiki/Find_Lady_Druella,"Find Lady Druella: Path 2, Melee Mastery only","This path is for players who only desire Melee Mastery. However they may still obtain Dodge Mastery later (see path 3) Seek out Sir Garrick Stout in Dernholm Accept his quest to Find Lady Druella with an offer of marriage and return her to Dernholm The offer comes with a bribe of a potion to restore the sight of the blinded Adkin Chambers Go to the Gyr Dolours' lair which Stout marked on your map Rescue Lady Druella without her being killed You can convince Druella to return if you tell her (lie or the truth) that you will kill Stout as soon as he provides the Potion Return to Dernholm and present Druella to Stout Stout will then give Druella the Potion; and your reward is Master Training and 8,500 xp"
https://arcanum.fandom.com/wiki/Retrieve_Azram%27s_Star,Retrieve Azram's Star: Walkthrough,"Black Root Clarissa Shalmo can be found in Black Root at one of the local pubs Talking with her reveals that she desires the throwing weapon called Azram's Star, but that current obligations prevent her from retrieving it If the player has any training in Throwing, then she will task the player with obtaining it for her If the player initially says they will think about it, then comes back and says ""I will attempt to obtain Azram's Star for you."", she will not mark the location on the map; nor can K'na Tha be found by walking to its coordinates without a marker. K'na Tha K'na Tha is found at 1435W, 616S, and it is marked on The Player's World map when accepting the quest It is 6 levels with alternating mazes and puzzles to solve, requiring a ranged weapon There are a variety of monsters that use ranged attack guarding the levels All the doors are locked, requiring maxed Pick Locks, 100MA Unlocking Cantrip, or weapons to destroy the doors Each level must be exited by extinguishing various lit torches Azram's Star can be found in an altar on the sixth level Black Root (Main Quest) Clarissa can be found back at the Drop Yer Anchor Pub Giving her Azram's Star results in 4600 exp If the player also has at least 18/20 in Throwing, then Expert and/or Master Training will be given Black Root (Side Quest - Optional) If the player does not have Expert Training and has less that 9/20 in Throwing, then Clarissa will not train them until their rank is higher If the player has Expert Training but has less than 18/20 in Throwing, then this spawns a side quest to Practice Throwing When the player returns with the adequate rank and a 1000 gp fee, then they will receive Master Training They will also receive an additional 1700 exp"
https://arcanum.fandom.com/wiki/Find_the_Master_of_Backstab,Find the Master of Backstab: Short Description,"This is a work in progressWhen you encounter Craig, you may notice he is on edge as he is in hiding from Tarantian authorities due to murder charges. If you meet him by chance without the requirements for Backstab Master training, he will tell you to leave. However, being qualified and asking him about training will give you the required dialogue options.NOTE: Once you have been trained, his paranoia sets in and he attempts to kill you, so beware."
https://arcanum.fandom.com/wiki/Run_Around_Tarant_in_Your_Underwear,Run Around Tarant in Your Underwear: Short Description,"130 Sammie White: Go to middle of Tarant and run around in your underwear. (Reward: Master Pickpocket training, Pervert reputation, and 6400 XP.)Trade barbs with Sammie, and then keep talking to him until you can ask what he does for a living. Then ask for him for master training. He’ll tell you to take off your clothes and run up and down Kensington Broadway several times. After that go back and talk to Sammie. He'll train you as master. Note that this also results in gaining the reputation of ' ""Pervert of Tarant"" ' which causes a -25 reaction modifier to everyone in Tarant and -5 reaction modifier elsewhere. Also note that planting items is mostly useless, thus giving this Mastery little value, as most marks will pick up items dropped near them anyway."
https://arcanum.fandom.com/wiki/Find_the_Master_of_Prowling,Find the Master of Prowling: Short Description,"This is a work in progressFind the master, and to do that you have to follow the clues from three notes. You’ll get the first note when you train to be an expert, and it should lead you to the Mushroom Inn, room 4 (in Caladon). There you should find a second note, and it will give you clues to look under the bed, put on the glasses you should find there, and then look at the portrait. You’ll receive a new location on your map -- a Mysterious Location (1586W, 1816S) -- and there, if you travel northeast, you’ll find a hollow tree stump guarded by several brute fangs. Brute fangs are nasty in groups, so be prepared before you go in. In the stump you’ll find the third note, and it will tell you to read the note again by the fireplace in the Mushroom Inn. So go back to the inn, read the note again, and learn that the master is named Albert Leek and can be found at the Sobbing Onion.**When you find Leek, he’ll introduce himself as “A.L.” but if you have a couple drinks with him, you’ll eventually recognize who he is, and he’ll give you training (plus a ring of silence). Note that the drinking might lower your prowling skill enough that you’ll have to wait until you’re sober again to train. Also note that it doesn’t appear as if you really have to get the notes. Once you get expert training you can just walk right up to Leek to train with him."
https://arcanum.fandom.com/wiki/Get_staff_of_K%E2%80%99an_T%E2%80%99au,Get staff of K’an T’au: Short Description,"This is a work in progressQuest takes place in The Castle S'nel N'fa. The Castle is surrounded by a moat which you must cross from your arrival point (A) to the Castle Entrance (B).Once inside you must travel from the start point (C) to the chest containing the Staff of K’an T’au at point (D). You can plow straight through with steady healing, or navigate the maze without tripping any traps. The staff is guarded by the undead titular mage, and the chest is magically held. There is also a trap door leading directly back to the surface so that you do not have to retrace the maze backwards."
https://arcanum.fandom.com/wiki/Gamble_with_Gurin_Rockharrow,Gamble with Gurin Rockharrow: Background,This is the Mastery Quest for Gambling
